UID,Rk,Player,playerid,Age,Tm,Lg,Season,G_Totals,GS_Totals,MP_Totals,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,draftyr,draftrd,draftpk,SeasonN,DraftTeam,playedForDrafter,YrFirstSeason,DraftEra,Seasonstartyr,Seasonendyr,Salary,Source
horfoal012011-12,2984,Al Horford,horfoal01,25,ATL,NBA,2011-12,11,11,348,19,0.01,0.291,8.8,17.1,13,11.7,1.5,3.1,12.1,17.9,116,100,0.8,0.6,1.3,0.18,0.5,2.3,2.8,0.4,2007,1,3,5,ATL,Yes,2007,1&DoneEra,2011,2012,12000000.00, bballref 
horryro011995-96,6441,Robert Horry,horryro01,25,HOU,NBA,1995-96,71,71,2634,13.7,0.53,0.195,4.3,13.2,8.9,16.1,2.3,2.9,16.8,16.3,105,106,1.5,3.4,4.9,0.089,0.6,2.4,3,3.3,1992,1,11,4,HOU,Yes,1992,HSEra,1995,1996,1601000.00, bballref 
horryro011996-97,6677,Robert Horry,horryro01,26,TOT,NBA,1996-97,54,29,1395,13,0.428,0.25,5.7,13.9,9.8,11.9,2.5,3,15.3,15.2,106,104,1,1.9,2.9,0.098,-0.1,2.5,2.3,1.5,1992,1,11,5,HOU,?,1992,HSEra,1996,1997,1703000.00, bballref 
houseed012000-01,3773,Eddie House,houseed01,22,MIA,NBA,2000-01,50,0,550,11.6,0.223,0.142,1.1,8,4.5,19.4,1.3,0,11.8,26.2,92,102,-0.2,0.6,0.4,0.035,-2.4,-2.9,-5.3,-0.5,2000,2,37,1,MIA,Yes,2000,HSEra,2000,2001,316969.00, bballref 
houseed012001-02,4039,Eddie House,houseed01,23,MIA,NBA,2001-02,64,3,1230,11.6,0.3,0.094,1.6,8.8,5.2,18.8,1.9,0.3,12.8,24.3,92,103,-0.7,1.6,0.9,0.036,-1.5,-1.3,-2.7,-0.2,2000,2,37,2,MIA,Yes,2000,HSEra,2001,2002,465850.00, bballref 
houseed012002-03,4267,Eddie House,houseed01,24,MIA,NBA,2002-03,55,7,1025,12.1,0.27,0.081,1.9,9.7,5.7,16.6,2.3,0.1,9.1,23.2,93,103,-0.4,1.1,0.7,0.032,-1.3,-1,-2.3,-0.1,2000,2,37,3,MIA,Yes,2000,HSEra,2002,2003,637435.00, bballref 
houseed012003-04,4521,Eddie House,houseed01,25,LAC,NBA,2003-04,60,10,1188,12,0.303,0.1,2.7,10.6,6.6,21.6,2.9,0.2,11.8,19.8,96,108,0.2,0.5,0.7,0.027,-0.4,-1.7,-2.1,0,2000,2,37,4,MIA,No,2000,HSEra,2003,2004,750000.00, bballref 
houseed012004-05,4753,Eddie House,houseed01,26,TOT,NBA,2004-05,68,7,891,15.8,0.265,0.074,2,8.6,5.2,17.9,2.6,0.5,8.5,20.6,109,109,1.2,0.6,1.8,0.097,0.6,-1.9,-1.3,0.2,2000,2,37,5,MIA,?,2000,HSEra,2004,2005,1388327.00, bballref 
houstal011995-96,5939,Allan Houston,houstal01,24,DET,NBA,1995-96,82,75,3072,15.7,0.359,0.291,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,108,108,4.2,3,7.1,0.112,2,-1.3,0.7,2.1,1993,1,11,3,DET,Yes,1993,HSEra,1995,1996,1177000.00, bballref 
houstal011996-97,6188,Allan Houston,houstal01,25,NYK,NBA,1996-97,81,81,2681,11.3,0.372,0.211,2,8.5,5.4,11.9,0.8,0.5,12.9,22.2,103,105,1.5,3.2,4.7,0.084,-0.5,-1,-1.5,0.4,1993,1,11,4,DET,No,1993,HSEra,1996,1997,5000000.00, bballref 
